band,site,nest.id,utm.easting,utm.northing,elevation,tree.species,height,orientation,canopy.cover,immediate.habitat,shavings,year.placed,species,clutch.initiation,hatch.date,day12,clutch.size,nestlings,fledged,male.id,female.id
2900-40694,3,197-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MOCH,NA,NA,NA,NA,5,5,,NA
2830-31913,1,313-2019,477307,4433051,1641,austrian pine,110,SE,30,short grass & shrub,Y,2019,BCCH,115,134,146,6,4,0,unb,WPS
326-2019-1,1,326-2019,479002,4431745,1613,aspen,133,SE,40,NA,Y,2019,BCCH,119,138,150,6,5,0,YWB,unB
326-2019-2,1,326-2019,479002,4431745,1613,aspen,133,SE,40,NA,Y,2019,BCCH,119,138,150,6,5,0,YWB,unB
326-2019-3,1,326-2019,479002,4431745,1613,aspen,133,SE,40,NA,Y,2019,BCCH,119,138,150,6,5,0,YWB,unB
2830-31927,1,272-2019,477181,4433308,1650,oak,123,SE,40,short grass,Y,2019,BCCH,119,139,151,5,4,4,WPR,BOS
2830-31925,1,272-2019,477181,4433308,1650,oak,123,SE,40,short grass,Y,2019,BCCH,119,139,151,5,4,4,WPR,BOS
272-2019-1,1,272-2019,477181,4433308,1650,oak,123,SE,40,short grass,Y,2019,BCCH,119,139,151,5,4,4,WPR,BOS
125-2019-1,2,125-2019,476626,4428871,1652,red cedar,282,SW,70,knee high grass,Y,2019,BCCH,118,140,152,7,4,4,PGY,unb
2830-31934,2,125-2019,476626,4428871,1652,red cedar,282,SW,70,knee high grass,Y,2019,BCCH,118,140,152,7,4,4,PGY,unb
125-2019-2,2,125-2019,476626,4428871,1652,red cedar,282,SW,70,knee high grass,Y,2019,BCCH,118,140,152,7,4,4,PGY,unb
125-2019-3,2,125-2019,476626,4428871,1652,red cedar,282,SW,70,knee high grass,Y,2019,BCCH,118,140,152,7,4,4,PGY,unb
2090-37434,1,345-2019,475302,4428227,1709,NA,107,NE,40,near street,Y,2019,BCCH,125,144,156,6,3,3,SLS,unb
161-2019-1,1,161-2019,476923,4433189,1724,locust,119,SE,70,grove of willow & cedar,Y,2019,MOCH,120,141,NA,8,7,7,YSB,AGO
161-2019-2,1,161-2019,476923,4433189,1724,locust,119,SE,70,grove of willow & cedar,Y,2019,MOCH,120,141,NA,8,7,7,YSB,AGO
